"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002EA","B08201_002M","B08201_002MA","B08201_003E","B08201_003M","B08201_003MA","B08201_003EA","B08201_004E","B08201_004M","B08201_004MA","B08201_004EA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012EA","B08201_012M","B08201_012MA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014M","B08201_014MA","B08201_014EA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016M","B08201_016MA","B08201_016EA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027M","B08201_027MA","B08201_027EA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"1400000US53033010500","Census Tract 105, King County, Washington","3963","null","209","null","653","null","194","null","1727","241","null","null","1212","204","null","null","337","121","null","null","34","null","39","null","1836","null","270","null","612","189","null","null","1087","null","221","null","137","77","null","null","0","null","17","null","0","null","17","null","1426","247","null","null","41","48","null","null","549","156","null","null","723","176","null","null","79","63","null","null","34","null","39","null","347","null","141","null","0","null","17","null","34","42","null","null","240","123","null","null","73","null","61","null","0","null","17","null","354","110","null","null","0","17","null","null","57","58","null","null","112","null","74","null","185","null","124","null","0","17","null","null",
"1400000US53033010600","Census Tract 106, King County, Washington","3744","null","161","null","380","null","149","null","1292","203","null","null","1586","205","null","null","423","126","null","null","63","null","50","null","1059","null","201","null","260","125","null","null","735","null","155","null","64","80","null","null","0","null","17","null","0","null","17","null","1624","214","null","null","69","54","null","null","399","137","null","null","846","174","null","null","293","110","null","null","17","null","27","null","506","null","120","null","51","null","57","null","129","74","null","null","299","100","null","null","27","null","35","null","0","null","17","null","555","108","null","null","0","17","null","null","29","32","null","null","377","null","108","null","103","null","57","null","46","42","null","null",
"1400000US53033010701","Census Tract 107.01, King County, Washington","1478","null","91","null","299","null","86","null","573","128","null","null","531","105","null","null","61","39","null","null","14","null","15","null","471","null","92","null","210","87","null","null","209","null","78","null","43","28","null","null","9","null","15","null","0","null","12","null","477","112","null","null","19","22","null","null","210","89","null","null","207","70","null","null","34","31","null","null","7","null","11","null","254","null","102","null","54","null","57","null","93","67","null","null","99","76","null","null","8","null","13","null","0","null","12","null","276","77","null","null","16","20","null","null","61","41","null","null","182","null","78","null","10","null","15","null","7","12","null","null",
"1400000US53033010702","Census Tract 107.02, King County, Washington","1547","null","81","null","273","null","82","null","709","151","null","null","383","111","null","null","134","70","null","null","48","null","37","null","369","null","81","null","118","50","null","null","233","null","80","null","18","29","null","null","0","null","12","null","0","null","12","null","364","93","null","null","45","38","null","null","117","67","null","null","134","59","null","null","43","32","null","null","25","null","28","null","276","null","112","null","50","null","55","null","114","66","null","null","85","64","null","null","20","null","21","null","7","null","11","null","538","132","null","null","60","47","null","null","245","135","null","null","146","null","58","null","71","null","60","null","16","24","null","null",
"1400000US53033010800","Census Tract 108, King County, Washington","1861","null","53","null","139","null","69","null","589","115","null","null","668","117","null","null","331","99","null","null","134","null","64","null","387","null","100","null","56","40","null","null","237","null","81","null","52","29","null","null","28","null","23","null","14","null","16","null","743","110","null","null","83","59","null","null","147","70","null","null","316","78","null","null","120","70","null","null","77","null","50","null","367","null","93","null","0","null","12","null","121","73","null","null","135","64","null","null","100","null","51","null","11","null","17","null","364","87","null","null","0","12","null","null","84","49","null","null","165","null","52","null","83","null","54","null","32","27","null","null",
"1400000US53033010900","Census Tract 109, King County, Washington","620","null","38","null","109","null","45","null","287","64","null","null","157","40","null","null","50","30","null","null","17","null","17","null","350","null","66","null","89","44","null","null","218","null","55","null","35","22","null","null","8","null","11","null","0","null","12","null","168","50","null","null","20","28","null","null","67","37","null","null","49","29","null","null","15","16","null","null","17","null","17","null","71","null","31","null","0","null","12","null","0","12","null","null","44","26","null","null","27","null","22","null","0","null","12","null","31","23","null","null","0","12","null","null","2","7","null","null","29","null","22","null","0","null","12","null","0","12","null","null",
"1400000US53033011001","Census Tract 110.01, King County, Washington","1666","null","83","null","492","null","106","null","575","135","null","null","334","109","null","null","199","75","null","null","66","null","51","null","614","null","108","null","352","99","null","null","239","null","104","null","17","18","null","null","0","null","12","null","6","null","10","null","445","115","null","null","129","66","null","null","178","80","null","null","86","45","null","null","18","20","null","null","34","null","44","null","101","null","60","null","11","null","16","null","36","42","null","null","7","12","null","null","47","null","34","null","0","null","12","null","506","73","null","null","0","12","null","null","122","54","null","null","224","null","98","null","134","null","68","null","26","25","null","null",
"1400000US53033011002","Census Tract 110.02, King County, Washington","1349","null","41","null","171","null","77","null","340","94","null","null","560","116","null","null","133","66","null","null","145","null","57","null","293","null","89","null","73","41","null","null","176","null","67","null","44","36","null","null","0","null","12","null","0","null","12","null","238","86","null","null","43","40","null","null","50","37","null","null","119","68","null","null","26","30","null","null","0","null","12","null","235","null","72","null","14","null","22","null","23","24","null","null","122","58","null","null","39","null","34","null","37","null","32","null","583","95","null","null","41","43","null","null","91","62","null","null","275","null","90","null","68","null","48","null","108","51","null","null",
"1400000US53033011101","Census Tract 111.01, King County, Washington","1875","null","82","null","285","null","115","null","793","140","null","null","498","109","null","null","183","62","null","null","116","null","68","null","526","null","126","null","121","65","null","null","387","null","126","null","9","14","null","null","9","null","14","null","0","null","17","null","503","134","null","null","132","90","null","null","143","63","null","null","187","83","null","null","32","28","null","null","9","null","14","null","289","null","100","null","23","null","27","null","90","65","null","null","161","71","null","null","15","null","18","null","0","null","17","null","557","88","null","null","9","15","null","null","173","80","null","null","141","null","64","null","127","null","57","null","107","66","null","null",
"1400000US53033011102","Census Tract 111.02, King County, Washington","1486","null","131","null","165","null","83","null","399","114","null","null","643","134","null","null","230","91","null","null","49","null","35","null","281","null","90","null","63","52","null","null","177","null","72","null","34","40","null","null","7","null","11","null","0","null","12","null","612","138","null","null","23","24","null","null","150","85","null","null","331","124","null","null","95","52","null","null","13","null","15","null","164","null","69","null","35","null","37","null","25","24","null","null","66","42","null","null","38","null","32","null","0","null","12","null","429","95","null","null","44","46","null","null","47","34","null","null","212","null","71","null","90","null","65","null","36","31","null","null",
