"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006M","B08201_006MA","B08201_006EA","B08201_007E","B08201_007M","B08201_007MA","B08201_007EA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019M","B08201_019MA","B08201_019EA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023M","B08201_023MA","B08201_023EA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"1400000US53053061500","Census Tract 615, Pierce County, Washington","3096","null","159","null","521","144","null","null","1794","null","200","null","729","null","165","null","0","null","17","null","52","53","null","null","1984","236","null","null","448","138","null","null","1405","null","202","null","122","93","null","null","0","17","null","null","9","15","null","null","828","185","null","null","58","null","51","null","259","124","null","null","497","null","147","null","0","null","17","null","14","23","null","null","178","91","null","null","15","23","null","null","66","66","null","null","97","null","69","null","0","17","null","null","0","17","null","null","106","87","null","null","0","17","null","null","64","null","78","null","13","null","21","null","0","17","null","null","29","47","null","null",
"1400000US53053061601","Census Tract 616.01, Pierce County, Washington","1308","null","91","null","433","79","null","null","642","null","109","null","224","null","82","null","9","null","14","null","0","12","null","null","915","109","null","null","379","80","null","null","455","null","83","null","81","62","null","null","0","12","null","null","0","12","null","null","374","96","null","null","54","null","39","null","174","74","null","null","137","null","54","null","9","null","14","null","0","12","null","null","19","21","null","null","0","12","null","null","13","19","null","null","6","null","9","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US53053061602","Census Tract 616.02, Pierce County, Washington","439","null","44","null","46","26","null","null","238","null","53","null","155","null","53","null","0","null","12","null","0","12","null","null","222","48","null","null","42","26","null","null","165","null","50","null","15","15","null","null","0","12","null","null","0","12","null","null","184","53","null","null","0","null","12","null","68","35","null","null","116","null","50","null","0","null","12","null","0","12","null","null","19","15","null","null","4","7","null","null","0","12","null","null","15","null","13","null","0","12","null","null","0","12","null","null","14","11","null","null","0","12","null","null","5","null","9","null","9","null","10","null","0","12","null","null","0","12","null","null",
"1400000US53053061700","Census Tract 617, Pierce County, Washington","1790","null","113","null","170","69","null","null","715","null","131","null","661","null","129","null","171","null","80","null","73","40","null","null","678","161","null","null","145","69","null","null","436","null","126","null","88","56","null","null","9","14","null","null","0","12","null","null","466","120","null","null","14","null","17","null","140","76","null","null","235","null","80","null","56","null","48","null","21","19","null","null","399","133","null","null","11","17","null","null","93","53","null","null","167","null","90","null","106","64","null","null","22","21","null","null","247","82","null","null","0","12","null","null","46","null","43","null","171","null","73","null","0","12","null","null","30","28","null","null",
"1400000US53053061800","Census Tract 618, Pierce County, Washington","918","null","99","null","129","67","null","null","313","null","112","null","285","null","91","null","148","null","72","null","43","33","null","null","288","92","null","null","81","49","null","null","168","null","75","null","21","19","null","null","18","17","null","null","0","12","null","null","217","72","null","null","6","null","10","null","52","30","null","null","149","null","65","null","0","null","12","null","10","13","null","null","119","64","null","null","6","9","null","null","42","39","null","null","46","null","48","null","16","21","null","null","9","12","null","null","294","72","null","null","36","36","null","null","51","null","70","null","69","null","60","null","114","69","null","null","24","28","null","null",
"1400000US53053061900","Census Tract 619, Pierce County, Washington","781","null","58","null","106","41","null","null","312","null","78","null","271","null","79","null","80","null","49","null","12","21","null","null","349","77","null","null","80","38","null","null","192","null","64","null","66","42","null","null","11","13","null","null","0","12","null","null","223","64","null","null","10","null","14","null","79","42","null","null","107","null","51","null","27","null","26","null","0","12","null","null","78","50","null","null","10","18","null","null","16","23","null","null","29","null","33","null","23","29","null","null","0","12","null","null","131","57","null","null","6","9","null","null","25","null","28","null","69","null","53","null","19","21","null","null","12","21","null","null",
"1400000US53053062000","Census Tract 620, Pierce County, Washington","1620","null","102","null","246","73","null","null","536","null","129","null","493","null","109","null","230","null","75","null","115","52","null","null","554","97","null","null","168","65","null","null","299","null","90","null","37","25","null","null","30","27","null","null","20","21","null","null","390","85","null","null","25","null","23","null","127","68","null","null","189","null","52","null","28","null","31","null","21","22","null","null","215","77","null","null","36","30","null","null","28","20","null","null","79","null","47","null","53","41","null","null","19","20","null","null","461","101","null","null","17","19","null","null","82","null","57","null","188","null","74","null","119","53","null","null","55","40","null","null",
"1400000US53053062300","Census Tract 623, Pierce County, Washington","1667","null","97","null","132","71","null","null","495","null","117","null","612","null","121","null","313","null","85","null","115","49","null","null","319","81","null","null","79","52","null","null","130","null","56","null","78","65","null","null","17","18","null","null","15","17","null","null","517","100","null","null","14","null","21","null","184","71","null","null","169","null","72","null","116","null","68","null","34","28","null","null","278","91","null","null","35","43","null","null","78","72","null","null","116","null","53","null","49","32","null","null","0","17","null","null","553","83","null","null","4","7","null","null","103","null","64","null","249","null","73","null","131","63","null","null","66","34","null","null",
"1400000US53053062400","Census Tract 624, Pierce County, Washington","2077","null","144","null","260","103","null","null","614","null","176","null","627","null","157","null","305","null","129","null","271","121","null","null","641","147","null","null","215","84","null","null","325","null","134","null","59","63","null","null","42","49","null","null","0","17","null","null","648","145","null","null","16","null","27","null","159","79","null","null","308","null","133","null","94","null","82","null","71","70","null","null","279","121","null","null","0","17","null","null","59","70","null","null","102","null","74","null","71","61","null","null","47","49","null","null","509","122","null","null","29","44","null","null","71","null","51","null","158","null","92","null","98","77","null","null","153","91","null","null",
"1400000US53053062500","Census Tract 625, Pierce County, Washington","2506","null","201","null","73","60","null","null","919","null","225","null","939","null","229","null","484","null","172","null","91","81","null","null","550","180","null","null","39","43","null","null","393","null","165","null","118","98","null","null","0","17","null","null","0","17","null","null","707","184","null","null","34","null","39","null","84","69","null","null","371","null","145","null","215","null","106","null","3","10","null","null","657","157","null","null","0","17","null","null","298","137","null","null","273","null","143","null","41","42","null","null","45","61","null","null","592","173","null","null","0","17","null","null","144","null","107","null","177","null","94","null","228","148","null","null","43","43","null","null",
