"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007M","B08201_007MA","B08201_007EA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009M","B08201_009MA","B08201_009EA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016M","B08201_016MA","B08201_016EA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026M","B08201_026MA","B08201_026EA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"1400000US53005010805","Census Tract 108.05, Benton County, Washington","2238","null","157","null","53","37","null","null","672","null","171","null","953","null","150","null","427","null","109","null","133","null","70","null","565","151","null","null","35","null","24","null","454","133","null","null","76","76","null","null","0","null","17","null","0","17","null","null","923","140","null","null","0","null","17","null","167","98","null","null","580","119","null","null","169","79","null","null","7","13","null","null","344","null","112","null","0","17","null","null","40","40","null","null","163","null","77","null","107","null","67","null","34","30","null","null","406","107","null","null","18","27","null","null","11","null","20","null","134","null","70","null","151","78","null","null","92","58","null","null",
"1400000US53005010807","Census Tract 108.07, Benton County, Washington","375","null","42","null","10","16","null","null","5","null","12","null","232","null","36","null","116","null","47","null","12","null","12","null","26","34","null","null","0","null","12","null","5","12","null","null","21","30","null","null","0","null","12","null","0","12","null","null","171","53","null","null","0","null","12","null","0","12","null","null","89","47","null","null","82","41","null","null","0","12","null","null","97","null","63","null","0","12","null","null","0","12","null","null","89","null","61","null","0","null","12","null","8","13","null","null","81","30","null","null","10","16","null","null","0","null","12","null","33","null","32","null","34","25","null","null","4","11","null","null",
"1400000US53005010809","Census Tract 108.09, Benton County, Washington","2440","null","140","null","81","54","null","null","967","null","188","null","817","null","181","null","428","null","118","null","147","null","105","null","815","192","null","null","81","null","54","null","611","177","null","null","111","71","null","null","12","null","19","null","0","17","null","null","668","185","null","null","0","null","17","null","173","111","null","null","306","131","null","null","168","89","null","null","21","33","null","null","380","null","141","null","0","17","null","null","77","59","null","null","153","null","106","null","124","null","77","null","26","32","null","null","577","142","null","null","0","17","null","null","106","null","90","null","247","null","99","null","124","88","null","null","100","92","null","null",
"1400000US53005010810","Census Tract 108.10, Benton County, Washington","1928","null","122","null","138","68","null","null","333","null","121","null","1016","null","172","null","343","null","112","null","98","null","55","null","376","124","null","null","125","null","66","null","168","92","null","null","83","71","null","null","0","null","17","null","0","17","null","null","847","155","null","null","13","null","21","null","92","54","null","null","618","161","null","null","111","70","null","null","13","21","null","null","301","null","158","null","0","17","null","null","64","64","null","null","120","null","122","null","95","null","61","null","22","31","null","null","404","116","null","null","0","17","null","null","9","null","16","null","195","null","115","null","137","78","null","null","63","44","null","null",
"1400000US53005010811","Census Tract 108.11, Benton County, Washington","1117","null","72","null","8","13","null","null","39","null","28","null","376","null","93","null","446","null","122","null","248","null","87","null","65","38","null","null","8","null","13","null","34","29","null","null","14","21","null","null","9","null","14","null","0","12","null","null","423","101","null","null","0","null","12","null","0","12","null","null","183","73","null","null","175","83","null","null","65","49","null","null","277","null","96","null","0","12","null","null","5","10","null","null","46","null","38","null","133","null","74","null","93","66","null","null","352","90","null","null","0","12","null","null","0","null","12","null","133","null","76","null","129","63","null","null","90","51","null","null",
"1400000US53005010813","Census Tract 108.13, Benton County, Washington","3398","null","198","null","62","46","null","null","872","null","189","null","1302","null","202","null","683","null","145","null","479","null","162","null","686","156","null","null","44","null","36","null","523","145","null","null","86","61","null","null","33","null","39","null","0","17","null","null","1365","186","null","null","18","null","27","null","239","100","null","null","702","160","null","null","286","97","null","null","120","75","null","null","515","null","172","null","0","17","null","null","0","17","null","null","223","null","133","null","136","null","82","null","156","108","null","null","832","130","null","null","0","17","null","null","110","null","89","null","291","null","111","null","228","78","null","null","203","100","null","null",
"1400000US53005010814","Census Tract 108.14, Benton County, Washington","943","null","66","null","6","11","null","null","94","null","68","null","426","null","96","null","305","null","103","null","112","null","55","null","105","62","null","null","0","null","12","null","37","36","null","null","46","45","null","null","15","null","17","null","7","11","null","null","385","90","null","null","0","null","12","null","32","44","null","null","242","96","null","null","63","54","null","null","48","37","null","null","133","null","70","null","6","11","null","null","17","27","null","null","34","null","31","null","76","null","55","null","0","12","null","null","320","74","null","null","0","12","null","null","8","null","13","null","104","null","56","null","151","75","null","null","57","46","null","null",
"1400000US53005010901","Census Tract 109.01, Benton County, Washington","2225","null","165","null","257","121","null","null","699","null","198","null","903","null","197","null","247","null","108","null","119","null","101","null","680","178","null","null","236","null","119","null","306","135","null","null","112","74","null","null","9","null","16","null","17","20","null","null","687","159","null","null","0","null","17","null","238","124","null","null","345","102","null","null","95","73","null","null","9","14","null","null","389","null","138","null","10","16","null","null","131","96","null","null","145","null","92","null","92","null","76","null","11","20","null","null","469","136","null","null","11","19","null","null","24","null","27","null","301","null","144","null","51","43","null","null","82","87","null","null",
"1400000US53005010902","Census Tract 109.02, Benton County, Washington","1864","null","114","null","103","66","null","null","727","null","141","null","714","null","146","null","215","null","83","null","105","null","46","null","460","121","null","null","37","null","38","null","386","115","null","null","28","26","null","null","5","null","10","null","4","9","null","null","487","119","null","null","7","null","11","null","101","65","null","null","308","100","null","null","60","33","null","null","11","17","null","null","377","null","117","null","24","27","null","null","78","67","null","null","154","null","92","null","76","null","51","null","45","35","null","null","540","118","null","null","35","47","null","null","162","null","98","null","224","null","81","null","74","62","null","null","45","32","null","null",
"1400000US53005011001","Census Tract 110.01, Benton County, Washington","2023","null","175","null","149","68","null","null","777","null","218","null","802","null","185","null","204","null","95","null","91","null","64","null","776","181","null","null","95","null","41","null","392","134","null","null","246","135","null","null","31","null","38","null","12","23","null","null","493","130","null","null","0","null","17","null","98","76","null","null","277","83","null","null","80","60","null","null","38","36","null","null","267","null","121","null","0","17","null","null","133","90","null","null","87","null","68","null","11","null","19","null","36","40","null","null","487","151","null","null","54","56","null","null","154","null","128","null","192","null","141","null","82","63","null","null","5","12","null","null",
