"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_001MA","B08201_001EA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005EA","B08201_005M","B08201_005MA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010EA","B08201_010M","B08201_010MA","B08201_011E","B08201_011EA","B08201_011M","B08201_011MA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013EA","B08201_013M","B08201_013MA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015EA","B08201_015M","B08201_015MA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021M","B08201_021MA","B08201_021EA","B08201_022E","B08201_022EA","B08201_022M","B08201_022MA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025EA","B08201_025M","B08201_025MA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030EA","B08201_030M","B08201_030MA",
"1400000US53033030700","Census Tract 307, King County, Washington","1706","82","null","null","231","89","null","null","674","null","134","null","505","null","130","null","179","null","76","null","117","null","68","null","569","null","131","null","122","null","71","null","358","null","102","null","72","null","55","null","11","null","17","null","6","9","null","null","651","null","159","null","85","null","74","null","236","null","130","null","266","null","89","null","52","null","36","null","12","null","18","null","250","null","111","null","24","null","39","null","60","47","null","null","89","null","65","null","77","null","57","null","0","null","12","null","236","null","97","null","0","null","12","null","20","null","27","null","78","null","69","null","39","null","35","null","99","null","67","null",
"1400000US53033030801","Census Tract 308.01, King County, Washington","2262","130","null","null","244","138","null","null","712","null","169","null","878","null","183","null","218","null","149","null","210","null","134","null","425","null","125","null","111","null","97","null","184","null","97","null","117","null","69","null","13","null","21","null","0","17","null","null","768","null","185","null","118","null","100","null","273","null","107","null","323","null","132","null","16","null","25","null","38","null","36","null","379","null","131","null","0","null","17","null","118","85","null","null","139","null","97","null","81","null","82","null","41","null","66","null","690","null","159","null","15","null","26","null","137","null","90","null","299","null","139","null","108","null","100","null","131","null","108","null",
"1400000US53033030802","Census Tract 308.02, King County, Washington","1397","104","null","null","107","51","null","null","571","null","109","null","548","null","111","null","70","null","43","null","101","null","60","null","486","null","103","null","76","null","44","null","330","null","99","null","59","null","36","null","11","null","17","null","10","17","null","null","390","null","99","null","18","null","22","null","75","null","42","null","278","null","85","null","19","null","23","null","0","null","12","null","195","null","76","null","0","null","12","null","63","44","null","null","105","null","57","null","13","null","20","null","14","null","23","null","326","null","96","null","13","null","22","null","103","null","57","null","106","null","61","null","27","null","25","null","77","null","57","null",
"1400000US53033030901","Census Tract 309.01, King County, Washington","1115","123","null","null","28","17","null","null","165","null","70","null","528","null","100","null","233","null","84","null","161","null","58","null","168","null","60","null","18","null","17","null","83","null","35","null","47","null","36","null","12","null","14","null","8","10","null","null","273","null","79","null","10","null","11","null","13","null","17","null","176","null","56","null","69","null","55","null","5","null","7","null","264","null","99","null","0","null","12","null","28","23","null","null","166","null","87","null","54","null","32","null","16","null","19","null","410","null","64","null","0","null","12","null","41","null","48","null","139","null","53","null","98","null","44","null","132","null","54","null",
"1400000US53033030902","Census Tract 309.02, King County, Washington","2041","167","null","null","132","98","null","null","574","null","180","null","732","null","140","null","424","null","139","null","179","null","87","null","460","null","138","null","90","null","81","null","312","null","132","null","41","null","40","null","17","null","27","null","0","17","null","null","477","null","133","null","42","null","66","null","75","null","61","null","184","null","94","null","153","null","84","null","23","null","29","null","372","null","146","null","0","null","17","null","135","99","null","null","159","null","96","null","78","null","75","null","0","null","17","null","732","null","112","null","0","null","17","null","52","null","49","null","348","null","108","null","176","null","96","null","156","null","85","null",
"1400000US53033031000","Census Tract 310, King County, Washington","1602","94","null","null","30","26","null","null","293","null","76","null","805","null","112","null","301","null","76","null","173","null","55","null","247","null","76","null","17","null","19","null","180","null","60","null","50","null","52","null","0","null","12","null","0","12","null","null","659","null","98","null","3","null","5","null","113","null","56","null","424","null","87","null","89","null","53","null","30","null","22","null","266","null","88","null","0","null","12","null","0","12","null","null","153","null","67","null","72","null","40","null","41","null","34","null","430","null","78","null","10","null","15","null","0","null","12","null","178","null","67","null","140","null","56","null","102","null","43","null",
"1400000US53033031100","Census Tract 311, King County, Washington","2782","84","null","null","259","75","null","null","822","null","135","null","1124","null","169","null","422","null","142","null","155","null","54","null","757","null","129","null","96","null","46","null","461","null","103","null","169","null","67","null","10","null","9","null","21","23","null","null","843","null","119","null","55","null","33","null","222","null","82","null","442","null","111","null","109","null","66","null","15","null","11","null","502","null","122","null","30","null","33","null","103","54","null","null","143","null","69","null","215","null","93","null","11","null","13","null","680","null","135","null","78","null","65","null","36","null","22","null","370","null","135","null","88","null","30","null","108","null","47","null",
"1400000US53033031202","Census Tract 312.02, King County, Washington","2091","140","null","null","27","15","null","null","366","null","122","null","728","null","203","null","538","null","162","null","432","null","151","null","256","null","112","null","14","null","10","null","115","null","66","null","121","null","83","null","0","null","17","null","6","7","null","null","822","null","166","null","2","null","3","null","106","null","63","null","294","null","128","null","231","null","109","null","189","null","95","null","342","null","128","null","5","null","7","null","22","16","null","null","121","null","97","null","121","null","98","null","73","null","58","null","671","null","118","null","6","null","9","null","123","null","66","null","192","null","100","null","186","null","108","null","164","null","88","null",
"1400000US53033031204","Census Tract 312.04, King County, Washington","2272","112","null","null","7","11","null","null","313","null","127","null","925","null","182","null","614","null","135","null","413","null","119","null","356","null","130","null","7","null","11","null","194","null","100","null","144","null","104","null","0","null","17","null","11","18","null","null","935","null","161","null","0","null","17","null","68","null","54","null","456","null","142","null","299","null","114","null","112","null","90","null","471","null","151","null","0","null","17","null","9","16","null","null","200","null","111","null","131","null","65","null","131","null","65","null","510","null","105","null","0","null","17","null","42","null","63","null","125","null","83","null","184","null","69","null","159","null","77","null",
"1400000US53033031205","Census Tract 312.05, King County, Washington","2655","126","null","null","275","155","null","null","645","null","154","null","945","null","204","null","543","null","181","null","247","null","117","null","449","null","165","null","92","null","87","null","240","null","106","null","30","null","36","null","87","null","89","null","0","17","null","null","927","null","168","null","60","null","68","null","202","null","95","null","436","null","148","null","158","null","78","null","71","null","52","null","394","null","162","null","33","null","52","null","138","114","null","null","65","null","54","null","139","null","114","null","19","null","32","null","885","null","162","null","90","null","91","null","65","null","62","null","414","null","170","null","159","null","93","null","157","null","92","null",
