"GEO_ID","NAME","B08201_001E","B08201_001EA","B08201_001M","B08201_001MA","B08201_002E","B08201_002M","B08201_002MA","B08201_002EA","B08201_003E","B08201_003M","B08201_003MA","B08201_003EA","B08201_004E","B08201_004EA","B08201_004M","B08201_004MA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008M","B08201_008MA","B08201_008EA","B08201_009E","B08201_009EA","B08201_009M","B08201_009MA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012M","B08201_012MA","B08201_012EA","B08201_013E","B08201_013M","B08201_013MA","B08201_013EA","B08201_014E","B08201_014M","B08201_014MA","B08201_014EA","B08201_015E","B08201_015EA","B08201_015M","B08201_015MA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017M","B08201_017MA","B08201_017EA","B08201_018E","B08201_018M","B08201_018MA","B08201_018EA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020EA","B08201_020M","B08201_020MA","B08201_021E","B08201_021EA","B08201_021M","B08201_021MA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023M","B08201_023MA","B08201_023EA","B08201_024E","B08201_024M","B08201_024MA","B08201_024EA","B08201_025E","B08201_025M","B08201_025MA","B08201_025EA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027EA","B08201_027M","B08201_027MA","B08201_028E","B08201_028M","B08201_028MA","B08201_028EA","B08201_029E","B08201_029M","B08201_029MA","B08201_029EA","B08201_030E","B08201_030M","B08201_030MA","B08201_030EA",
"1400000US53033009400","Census Tract 94, King County, Washington","2427","null","144","null","591","148","null","null","924","187","null","null","719","null","163","null","156","82","null","null","37","null","39","null","858","null","168","null","363","126","null","null","453","null","140","null","26","23","null","null","16","20","null","null","0","17","null","null","703","175","null","null","193","87","null","null","208","null","98","null","275","null","124","null","27","31","null","null","0","17","null","null","439","null","156","null","0","null","17","null","149","null","93","null","222","129","null","null","68","67","null","null","0","17","null","null","427","143","null","null","35","null","43","null","114","null","74","null","196","129","null","null","45","41","null","null","37","39","null","null",
"1400000US53033009500","Census Tract 95, King County, Washington","2452","null","143","null","287","117","null","null","873","212","null","null","1050","null","183","null","193","75","null","null","49","null","46","null","822","null","173","null","210","110","null","null","435","null","124","null","143","87","null","null","34","37","null","null","0","17","null","null","789","149","null","null","48","40","null","null","213","null","116","null","455","null","116","null","73","55","null","null","0","17","null","null","426","null","140","null","0","null","17","null","162","null","102","null","232","100","null","null","17","27","null","null","15","21","null","null","415","114","null","null","29","null","32","null","63","null","51","null","220","111","null","null","69","51","null","null","34","40","null","null",
"1400000US53033009600","Census Tract 96, King County, Washington","2810","null","148","null","230","102","null","null","1400","199","null","null","835","null","182","null","320","108","null","null","25","null","32","null","1335","null","173","null","230","102","null","null","1024","null","180","null","55","44","null","null","15","25","null","null","11","20","null","null","983","175","null","null","0","17","null","null","219","null","108","null","591","null","167","null","159","84","null","null","14","24","null","null","95","null","82","null","0","null","17","null","49","null","72","null","30","34","null","null","16","27","null","null","0","17","null","null","397","104","null","null","0","null","17","null","108","null","85","null","159","87","null","null","130","67","null","null","0","17","null","null",
"1400000US53033009701","Census Tract 97.01, King County, Washington","2949","null","127","null","92","65","null","null","1407","213","null","null","1114","null","180","null","290","135","null","null","46","null","43","null","1205","null","236","null","54","49","null","null","934","null","208","null","217","148","null","null","0","17","null","null","0","17","null","null","1050","185","null","null","38","43","null","null","305","null","135","null","538","null","146","null","157","77","null","null","12","20","null","null","427","null","149","null","0","null","17","null","154","null","109","null","185","97","null","null","68","56","null","null","20","32","null","null","267","93","null","null","0","null","17","null","14","null","24","null","174","58","null","null","65","82","null","null","14","23","null","null",
"1400000US53033009702","Census Tract 97.02, King County, Washington","2189","null","122","null","47","39","null","null","709","142","null","null","1062","null","178","null","339","113","null","null","32","null","36","null","567","null","126","null","47","39","null","null","432","null","104","null","76","79","null","null","12","19","null","null","0","17","null","null","820","107","null","null","0","17","null","null","188","null","73","null","464","null","105","null","168","81","null","null","0","17","null","null","360","null","105","null","0","null","17","null","34","null","37","null","228","93","null","null","66","45","null","null","32","36","null","null","442","89","null","null","0","null","17","null","55","null","43","null","294","88","null","null","93","65","null","null","0","17","null","null",
"1400000US53033009800","Census Tract 98, King County, Washington","3019","null","88","null","230","108","null","null","1185","149","null","null","1154","null","189","null","363","118","null","null","87","null","59","null","1013","null","157","null","141","79","null","null","742","null","133","null","111","74","null","null","0","17","null","null","19","31","null","null","1072","178","null","null","68","76","null","null","315","null","98","null","523","null","150","null","153","90","null","null","13","22","null","null","485","null","128","null","0","null","17","null","128","null","86","null","229","100","null","null","112","58","null","null","16","23","null","null","449","94","null","null","21","null","31","null","0","null","17","null","291","104","null","null","98","62","null","null","39","40","null","null",
"1400000US53033009900","Census Tract 99, King County, Washington","2436","null","149","null","162","79","null","null","1144","203","null","null","945","null","199","null","114","67","null","null","71","null","73","null","935","null","215","null","141","73","null","null","696","null","203","null","98","57","null","null","0","12","null","null","0","12","null","null","1043","207","null","null","21","24","null","null","312","null","149","null","600","null","188","null","74","45","null","null","36","59","null","null","289","null","141","null","0","null","12","null","136","null","92","null","113","73","null","null","40","45","null","null","0","12","null","null","169","83","null","null","0","null","12","null","0","null","12","null","134","76","null","null","0","12","null","null","35","41","null","null",
"1400000US53033010001","Census Tract 100.01, King County, Washington","1624","null","57","null","293","148","null","null","701","161","null","null","526","null","135","null","104","57","null","null","0","null","12","null","406","null","111","null","98","65","null","null","261","null","111","null","38","36","null","null","9","14","null","null","0","12","null","null","584","118","null","null","119","74","null","null","171","null","80","null","274","null","109","null","20","21","null","null","0","12","null","null","319","null","113","null","76","null","104","null","126","null","67","null","82","56","null","null","35","38","null","null","0","12","null","null","315","117","null","null","0","null","12","null","143","null","82","null","132","64","null","null","40","43","null","null","0","12","null","null",
"1400000US53033010002","Census Tract 100.02, King County, Washington","1640","null","119","null","123","50","null","null","760","165","null","null","416","null","117","null","175","71","null","null","166","null","95","null","493","null","125","null","97","50","null","null","353","null","118","null","43","41","null","null","0","12","null","null","0","12","null","null","609","124","null","null","15","24","null","null","284","null","120","null","219","null","88","null","68","45","null","null","23","25","null","null","209","null","95","null","11","null","18","null","64","null","54","null","79","60","null","null","46","32","null","null","9","15","null","null","329","92","null","null","0","null","12","null","59","null","46","null","75","45","null","null","61","42","null","null","134","92","null","null",
"1400000US53033010100","Census Tract 101, King County, Washington","2646","null","155","null","443","165","null","null","1045","205","null","null","908","null","180","null","206","73","null","null","44","null","46","null","1059","null","193","null","252","126","null","null","701","null","187","null","106","87","null","null","0","17","null","null","0","17","null","null","869","196","null","null","101","98","null","null","218","null","111","null","456","null","153","null","69","48","null","null","25","40","null","null","340","null","127","null","57","null","79","null","97","null","68","null","137","79","null","null","49","37","null","null","0","17","null","null","378","95","null","null","33","null","37","null","29","null","39","null","209","98","null","null","88","51","null","null","19","28","null","null",
