"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_001MA","B08201_001EA","B08201_002E","B08201_002EA","B08201_002M","B08201_002MA","B08201_003E","B08201_003EA","B08201_003M","B08201_003MA","B08201_004E","B08201_004M","B08201_004MA","B08201_004EA","B08201_005E","B08201_005M","B08201_005MA","B08201_005EA","B08201_006E","B08201_006EA","B08201_006M","B08201_006MA","B08201_007E","B08201_007EA","B08201_007M","B08201_007MA","B08201_008E","B08201_008EA","B08201_008M","B08201_008MA","B08201_009E","B08201_009M","B08201_009MA","B08201_009EA","B08201_010E","B08201_010M","B08201_010MA","B08201_010EA","B08201_011E","B08201_011M","B08201_011MA","B08201_011EA","B08201_012E","B08201_012EA","B08201_012M","B08201_012MA","B08201_013E","B08201_013EA","B08201_013M","B08201_013MA","B08201_014E","B08201_014EA","B08201_014M","B08201_014MA","B08201_015E","B08201_015M","B08201_015MA","B08201_015EA","B08201_016E","B08201_016EA","B08201_016M","B08201_016MA","B08201_017E","B08201_017EA","B08201_017M","B08201_017MA","B08201_018E","B08201_018EA","B08201_018M","B08201_018MA","B08201_019E","B08201_019EA","B08201_019M","B08201_019MA","B08201_020E","B08201_020M","B08201_020MA","B08201_020EA","B08201_021E","B08201_021EA","B08201_021M","B08201_021MA","B08201_022E","B08201_022M","B08201_022MA","B08201_022EA","B08201_023E","B08201_023EA","B08201_023M","B08201_023MA","B08201_024E","B08201_024EA","B08201_024M","B08201_024MA","B08201_025E","B08201_025EA","B08201_025M","B08201_025MA","B08201_026E","B08201_026EA","B08201_026M","B08201_026MA","B08201_027E","B08201_027M","B08201_027MA","B08201_027EA","B08201_028E","B08201_028EA","B08201_028M","B08201_028MA","B08201_029E","B08201_029EA","B08201_029M","B08201_029MA","B08201_030E","B08201_030EA","B08201_030M","B08201_030MA",
"1400000US53033001300","Census Tract 13, King County, Washington","2166","132","null","null","332","null","111","null","808","null","167","null","879","162","null","null","115","67","null","null","32","null","32","null","828","null","163","null","245","null","83","null","525","159","null","null","58","48","null","null","0","12","null","null","0","null","12","null","854","null","156","null","41","null","37","null","244","99","null","null","569","null","140","null","0","null","12","null","0","null","12","null","315","null","122","null","46","59","null","null","24","null","37","null","138","75","null","null","95","null","65","null","12","null","24","null","169","null","61","null","0","null","12","null","15","23","null","null","114","null","71","null","20","null","30","null","20","null","27","null",
"1400000US53033001400","Census Tract 14, King County, Washington","2289","99","null","null","285","null","148","null","775","null","175","null","761","155","null","null","360","133","null","null","108","null","65","null","640","null","145","null","172","null","105","null","437","130","null","null","31","38","null","null","0","17","null","null","0","null","17","null","657","null","150","null","18","null","29","null","158","82","null","null","320","null","112","null","161","null","86","null","0","null","17","null","529","null","132","null","18","29","null","null","139","null","106","null","256","116","null","null","59","null","48","null","57","null","48","null","463","null","145","null","77","null","105","null","41","42","null","null","154","null","62","null","140","null","90","null","51","null","48","null",
"1400000US53033001500","Census Tract 15, King County, Washington","1103","49","null","null","65","null","39","null","337","null","68","null","456","94","null","null","191","66","null","null","54","null","34","null","328","null","68","null","22","null","20","null","222","53","null","null","47","33","null","null","37","49","null","null","0","null","12","null","447","null","77","null","43","null","33","null","85","39","null","null","259","null","72","null","36","null","28","null","24","null","19","null","139","null","65","null","0","12","null","null","30","null","27","null","46","35","null","null","57","null","38","null","6","null","11","null","189","null","62","null","0","null","12","null","0","12","null","null","104","null","57","null","61","null","40","null","24","null","26","null",
"1400000US53033001600","Census Tract 16, King County, Washington","1816","60","null","null","80","null","43","null","426","null","95","null","802","92","null","null","380","95","null","null","128","null","41","null","539","null","95","null","54","null","34","null","315","88","null","null","82","40","null","null","80","69","null","null","8","null","13","null","593","null","85","null","0","null","12","null","58","40","null","null","419","null","81","null","90","null","39","null","26","null","24","null","291","null","105","null","17","19","null","null","45","null","46","null","123","58","null","null","89","null","54","null","17","null","19","null","393","null","73","null","9","null","12","null","8","12","null","null","178","null","50","null","121","null","64","null","77","null","30","null",
"1400000US53033001701","Census Tract 17.01, King County, Washington","1942","86","null","null","250","null","97","null","960","null","129","null","567","108","null","null","86","42","null","null","79","null","48","null","836","null","110","null","171","null","69","null","618","89","null","null","29","22","null","null","18","26","null","null","0","null","12","null","556","null","119","null","69","null","67","null","213","96","null","null","234","null","77","null","21","null","23","null","19","null","22","null","322","null","85","null","0","12","null","null","54","null","38","null","209","78","null","null","22","null","24","null","37","null","36","null","228","null","67","null","10","null","15","null","75","51","null","null","95","null","48","null","25","null","24","null","23","null","29","null",
"1400000US53033001702","Census Tract 17.02, King County, Washington","2143","92","null","null","292","null","83","null","875","null","171","null","668","150","null","null","215","101","null","null","93","null","75","null","794","null","137","null","193","null","88","null","538","157","null","null","21","24","null","null","0","12","null","null","42","null","51","null","878","null","138","null","68","null","59","null","287","98","null","null","377","null","105","null","108","null","89","null","38","null","43","null","233","null","95","null","31","49","null","null","34","null","34","null","105","61","null","null","63","null","50","null","0","null","12","null","238","null","76","null","0","null","12","null","16","19","null","null","165","null","64","null","44","null","45","null","13","null","23","null",
"1400000US53033001800","Census Tract 18, King County, Washington","2236","129","null","null","126","null","115","null","1000","null","202","null","796","195","null","null","275","126","null","null","39","null","46","null","697","null","178","null","97","null","97","null","570","165","null","null","0","17","null","null","30","44","null","null","0","null","17","null","839","null","182","null","13","null","21","null","242","125","null","null","527","null","168","null","53","null","81","null","4","null","13","null","354","null","115","null","16","27","null","null","25","null","32","null","160","88","null","null","148","null","90","null","5","null","14","null","346","null","64","null","0","null","17","null","163","82","null","null","109","null","74","null","44","null","43","null","30","null","41","null",
"1400000US53033001900","Census Tract 19, King County, Washington","2233","71","null","null","307","null","92","null","978","null","139","null","683","121","null","null","192","66","null","null","73","null","41","null","902","null","107","null","251","null","88","null","562","109","null","null","67","51","null","null","22","21","null","null","0","null","12","null","779","null","119","null","56","null","40","null","265","93","null","null","417","null","91","null","23","null","21","null","18","null","21","null","286","null","93","null","0","12","null","null","101","null","81","null","65","38","null","null","111","null","54","null","9","null","13","null","266","null","61","null","0","null","12","null","50","41","null","null","134","null","49","null","36","null","25","null","46","null","35","null",
"1400000US53033002000","Census Tract 20, King County, Washington","1593","81","null","null","151","null","60","null","580","null","96","null","616","92","null","null","191","78","null","null","55","null","35","null","500","null","89","null","122","null","56","null","325","86","null","null","53","36","null","null","0","12","null","null","0","null","12","null","583","null","104","null","20","null","24","null","190","75","null","null","283","null","81","null","90","null","54","null","0","null","12","null","256","null","72","null","0","12","null","null","46","null","36","null","132","57","null","null","69","null","43","null","9","null","13","null","254","null","53","null","9","null","14","null","19","19","null","null","148","null","43","null","32","null","29","null","46","null","33","null",
"1400000US53033002100","Census Tract 21, King County, Washington","1740","70","null","null","84","null","49","null","730","null","99","null","680","110","null","null","212","79","null","null","34","null","25","null","535","null","93","null","49","null","43","null","451","88","null","null","35","27","null","null","0","12","null","null","0","null","12","null","565","null","104","null","27","null","25","null","215","75","null","null","238","null","82","null","67","null","50","null","18","null","21","null","326","null","91","null","8","12","null","null","57","null","36","null","206","84","null","null","55","null","41","null","0","null","12","null","314","null","66","null","0","null","12","null","7","10","null","null","201","null","56","null","90","null","56","null","16","null","17","null",
